Fecha,open,high,low,close,volume,marketCap
30/01/2022,"8,272,120,419","8,372,838,984","7,794,425,616","7,972,485,995","11543561,12","$238.489.743,31"
31/01/2022,"7,972,154,837","8,220,501,475","7,722,520,417","8,080,137,982","11491910,84","$242.471.043,00"
01/02/2022,"8,079,682,618","8,285,854,981","8,006,510,818","8,218,297,626","11072224,34","$247.367.224,67"
02/02/2022,"8,218,561,308","8,261,923,008","7,798,969,866","7,993,884,543","10643245,29","$241.209.310,80"
03/02/2022,"7,990,817,242","8,004,494,529","7,821,925,009","7,973,916,973","10401518,82","$240.620.759,09"
04/02/2022,"7,965,204,813","8,256,509,911","7,903,089,637","8,245,556,652","10989911,63","$250.480.304,23"
05/02/2022,"8,245,112,109","8,283,138,685","7,814,374,929","7,918,064,063","13611146,12","$241.246.467,36"
06/02/2022,"7,918,427,723","8,024,304,692","7,786,730,531","7,953,534,468","10083141,53","$243.071.943,65"
07/02/2022,"7,952,589,367","8,045,803,442","7,806,371,472","8,041,787,714","9969907,86","$246.504.757,98"
08/02/2022,"8,040,175,174","8,837,626,801","7,854,042,237","8,668,431,483","15604420,45","$266.519.421,02"
09/02/2022,"8,652,720,123","8,652,720,123","811,503,891","8,319,157,518","10329136,93","$256.530.123,56"
10/02/2022,"8,320,227,661","8,433,567,534","7,925,538,277","8,196,534,333","12372404,07","$253.495.118,95"
11/02/2022,"8,192,762,171","8,252,549,856","7,995,098,371","8,081,013,955","11438039,68","$250.677.255,02"
12/02/2022,"8,082,345,172","8,120,323,537","7,890,659,906","8,018,690,451","8123178,35","$249.485.836,76"
13/02/2022,"8,016,135,706","8,062,148,359","7,906,542,929","7,928,919,643","7115510,93","$247.419.003,78"
14/02/2022,"7,925,270,181","7,955,898,942","7,789,323,778","7,922,461,857","8202730,21","$247.954.596,79"
15/02/2022,"7,922,402,133","8,038,886,931","789,490,695","8,010,651,458","7590786,04","$251.456.031,51"
16/02/2022,"8,010,532,832","8,016,324,926","7,849,814,569","7,911,545,556","7335630,84","$249.086.546,47"
17/02/2022,"7,909,658,798","79,818,012","7,238,908,801","7,390,542,176","9439570,93","$233.351.565,37"
18/02/2022,"7,392,210,837","7,618,320,917","7,213,395,404","7,332,012,211","8742556,89","$232.192.655,59"
19/02/2022,"7,331,617,085","74,612,866","7,121,409,072","7,286,650,226","7434090,12","$231.407.033,27"
20/02/2022,"7,287,068,373","8,218,845,105","6,794,441,042","7,518,375,028","18667374,67","$239.456.936,56"
21/02/2022,"7,516,813,486","8,021,678,345","7,329,434,744","7,436,018,802","18821043,74","$237.530.905,05"
22/02/2022,"7,434,600,727","7,943,439,466","7,349,459,891","7,910,570,326","14915560,32","$253.431.257,97"
23/02/2022,"7,908,959,817","8,158,170,946","7,743,816,103","7,818,788,031","13442168,94","$251.222.585,27"
24/02/2022,"7,818,566,947","7,822,170,148","7,053,161,533","7,713,251,831","17477811,41","$248.524.213,58"
25/02/2022,"7,711,979,299","7,921,321,382","7,649,080,274","7,774,328,307",10228612,"$251.223.221,10"
26/02/2022,"7,775,635,654","7,906,684,792","7,668,651,458","7,738,768,377","8542833,56","$250.789.570,32"
27/02/2022,"7,738,443,733","7,910,379,079","7,542,852,269","7,564,632,412","9172504,33","$245.832.095,69"
28/02/2022,"7,564,840,739","7,778,075,114","7,401,857,362","7,757,861,241","11666594,47","$252.835.214,47"
01/03/2022,"7,758,106,273","7,956,247,109","7,566,857,574","7,865,878,151","12286891,66","$257.088.990,77"
02/03/2022,"7,865,897,775","7,865,897,775","7,552,130,676","7,639,985,369","9682845,65","$250.395.019,68"
03/03/2022,"7,639,829,447","7,712,723,852","7,486,706,207","7,557,857,931","12149669,33","$248.397.163,38"
04/03/2022,"75,579,673","7,567,071,918","7,358,282,074","7,451,558,645","9640025,66","$245.585.265,66"
05/03/2022,"7,453,166,062","7,562,763,419","733,200,653","7,522,451,222","7874437,52","$248.624.986,68"
06/03/2022,"7,523,207,044","7,548,205,632","7,357,142,301","7,393,393,772","7257085,4","$245.064.978,79"
07/03/2022,"7,392,662,093","741,935,135","7,044,693,966","7,126,469,028","10238561,62","$236.883.901,75"
08/03/2022,"7,126,533,728","7,225,455,741","7,019,055,111","7,132,532,771","8668233,54","$237.711.126,41"
09/03/2022,"7,139,292,117","7,260,336,057","7,082,078,027","7,159,703,343","9181583,47","$239.263.252,72"
10/03/2022,"7,158,668,438","7,163,598,499","684,047,895","6,867,899,683","10743840,2","$230.159.870,03"
11/03/2022,"6,866,349,507","6,866,349,507","6,689,063,096","6,799,344,454","8715852,94","$228.503.325,27"
12/03/2022,"6,798,943,108","6,972,449,901","6,543,567,155","6,805,511,963","10901097,48","$229.355.485,06"
13/03/2022,"6,805,031,575","6,990,592,865","6,724,092,659","6,766,818,912","9602263,3","$228.659.066,55"
14/03/2022,"6,766,864,924","6,838,506,794","6,669,961,486","6,823,505,533","8234610,29","$231.210.595,59"
15/03/2022,"6,823,477,797","682,471,176","6,556,403,966","6,653,972,647","8047864,95","$226.078.834,71"
16/03/2022,"6,653,880,825","6,716,050,768","640,086,872","6,567,995,302","11970976,99","$223.753.209,57"
17/03/2022,"6,568,282,168","6,674,731,628","6,446,540,261","6,601,863,951","10013984,45","$225.474.449,80"
18/03/2022,"6,601,667,668","6,731,403,493","6,482,292,158","6,601,922,829","9215533,99","$226.135.992,77"
19/03/2022,"6,602,727,086","6,699,551,749","6,540,650,961","6,652,138,281","9459949,32","$228.471.747,06"
20/03/2022,"6,652,173,405","6,682,573,325","6,548,034,161","6,615,128,952","7242948,38","$227.782.968,88"
21/03/2022,"6,614,573,595","6,619,065,766","6,513,825,941","6,523,777,013","6865976,47","$225.233.727,58"
22/03/2022,"6,523,373,077","6,680,634,946","6,500,741,933","6,627,652,812","9576912,7","$229.134.195,45"
23/03/2022,"6,627,563,447","6,689,366,841","6,541,896,393","6,590,093,189","8245431,76","$228.781.609,24"
24/03/2022,"6,589,688,891","674,935,348","6,562,389,675","674,935,348","9217470,62","$234.927.581,31"
25/03/2022,"675,009,858","7,296,509,839","6,657,430,518","6,858,448,648","14805119,79","$239.365.961,84"
26/03/2022,"6,858,518,101","6,992,924,938","6,850,261,763","6,882,670,757","9637465,59","$240.832.014,26"
27/03/2022,"688,243,442","7,158,852,163","6,855,276,587","71,548,632","10172758,59","$250.505.140,23"
28/03/2022,"7,155,250,009","7,668,983,612","7,085,686,068","7,087,489,942","16669362,09","$248.146.276,49"
29/03/2022,"7,086,841,836","7,332,035,036","69,412,201","7,157,290,301","15211877,78","$250.590.117,56"
30/03/2022,"7,156,382,543","7,186,340,151","6,994,387,485","7,085,507,485","12238476,36","$248.076.866,94"
31/03/2022,"7,085,047,381","7,165,271,767","6,808,364,866","6,954,429,615","18567623,73","$246.554.141,35"
01/04/2022,"6,955,536,309","7,006,670,167","6,599,022,688","6,901,137,605","14323014,96","$245.293.344,93"
02/04/2022,"6,901,316,128","717,950,062","6,886,619,196","7,037,715,077","17280384,96","$250.809.597,29"
03/04/2022,"703,658,596","716,694,377","6,924,759,316","7,093,966,867","12649373,71","$253.494.038,52"
04/04/2022,"70,935,248","70,935,248","6,728,325,221","6,903,351,099","13784743,76","$247.307.582,71"
05/04/2022,"6,903,814,512","7,001,904,733","6,816,157,779","6,847,434,811","9570838,89","$245.941.712,72"
06/04/2022,"684,669,635","6,858,321,866","6,582,860,138","6,637,079,986","12444958,47","$238.995.144,19"
07/04/2022,"6,636,788,416","6,837,518,195","6,622,379,596","6,806,438,257","9699304,25","$245.721.950,11"
08/04/2022,"6,806,939,266","6,839,054,379","6,603,040,077","6,619,963,718","9419322,46","$239.588.469,11"
09/04/2022,"6,620,729,041","6,715,150,014","6,620,729,041","6,714,810,786","7200102,36","$243.661.480,51"
10/04/2022,"6,715,369,851","6,748,104,114","6,643,695,838","667,212,644","7295907,18","$242.726.889,07"
11/04/2022,"6,667,763,167","6,667,763,167","5,994,323,677","6,205,366,825","15047722,59","$226.310.596,88"
12/04/2022,"6,221,478,797","6,394,838,421","6,065,299,157","6,260,697,246","11594570,9","$228.920.266,18"
13/04/2022,"6,260,336,147","627,404,974","6,092,515,401","6,236,439,348","8789458,36","$228.586.768,36"
